created_at_utc,source,game,away_team,home_team,side,line,projection,edge,units,game_start_utc,game_date,timing_source,model_edge_score,recent_scoring_score,dashboard_scoring_score,rotation_concentration_score,rotation_risk_penalty,bench_depth_score,dreb_environment_score,market_range_penalty,market_range,advisory_score,advisory_label,risk_flags,manual_review_priority
2026-08-07T12:04:49.137564+00:00,hermes_approval_queue_v20,LAS @ WAS,LAS,WAS,OVER,,175.52,6.52,0.75,,,,65.19999999999999,0.0,0.0,3.8691204343622054,0.0,-1.8691204343622259,-0.9672077922078017,0.0,,19.689022019076848,NEUTRAL,NO_LINE,1.0
2026-08-07T12:04:49.137697+00:00,recommended_bets,LAS @ WAS,LAS,WAS,OVER,,175.52,6.52,,2026-05-29T23:30:00+00:00,2026-05-29,commence_time,65.19999999999999,0.0,0.0,3.8691204343622054,0.0,-1.8691204343622259,-0.9672077922078017,0.0,,19.689022019076848,NEUTRAL,NO_LINE,1.0
2026-08-07T12:04:49.138229+00:00,projections_with_stakes,ATL @ PDX,ATL,PDX,OVER,,169.84,5.34,,2026-05-30T02:00:00+00:00,2026-05-30,commence_time,53.4,0.0,0.0,-1.387947471178952,0.0,3.3879474711789648,-1.0346320346320503,0.0,,16.04050944884482,NEUTRAL,NO_LINE,2.0
2026-08-07T12:04:49.137625+00:00,hermes_approval_queue_v20,PHX @ NYL,PHX,NYL,OVER,,173.39,3.89,0.35,,,,38.9,0.0,0.0,0.5761592362633849,0.0,1.4238407637366168,5.244696969696957,0.0,,12.043758033210116,NEUTRAL,NO_LINE,3.0
2026-08-07T12:04:49.137803+00:00,recommended_bets,PHX @ NYL,PHX,NYL,OVER,,173.39,3.89,,2026-05-29T23:30:00+00:00,2026-05-29,commence_time,38.9,0.0,0.0,0.5761592362633849,0.0,1.4238407637366168,5.244696969696957,0.0,,12.043758033210116,NEUTRAL,NO_LINE,3.0
2026-08-07T12:04:49.137967+00:00,projections_with_stakes,IND @ GSV,IND,GSV,OVER,,169.89,2.89,,2026-05-29T02:10:00+00:00,2026-05-29,commence_time,28.900000000000002,0.0,0.0,0.9921970350794673,0.0,1.0078029649205344,3.6116883116883187,0.0,,8.970428356286007,NEUTRAL,NO_LINE,4.0
2026-08-07T12:04:49.104750+00:00,game_model_features_v21,NAN @ NAN,NAN,NAN,UNDER,,175.0,-1.5,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.5,NEUTRAL,NO_LINE,5.0
2026-08-07T12:04:49.137887+00:00,projections_with_stakes,LVA @ DAL,LVA,DAL,UNDER,,175.0,-1.5,,2026-05-29T00:10:00+00:00,2026-05-29,commence_time,15.0,0.0,0.0,2.182961552141882,0.0,-0.18296155214188037,-6.183116883116881,0.0,,4.334503386886993,NEUTRAL,NO_LINE,6.0
2026-08-07T12:04:49.138051+00:00,projections_with_stakes,MIN @ CHI,MIN,CHI,UNDER,,169.18,-0.82,,2026-05-29T23:30:00+00:00,2026-05-29,commence_time,8.2,0.0,0.0,2.468358920413416,0.0,-0.46835892041341975,-2.884090909090908,0.0,,2.4651626329537226,NEUTRAL,"NO_LINE, LOW_MODEL_EDGE",7.0
2026-08-07T12:04:49.137497+00:00,game_model_features_v21,IND @ CHI,IND,CHI,,193.3,,,,,2026-08-08,schedule_date_lookup,0.0,-0.0,-0.0,1.3651529493027281,0.0,0.6348470506972737,0.0,-20.0,2.0,-1.8726969410139453,NEUTRAL,"NO_SIDE, WIDE_MARKET_RANGE, LOW_MODEL_EDGE",8.0
2026-08-07T12:04:49.137012+00:00,game_model_features_v21,ATL @ WAS,ATL,WAS,,170.77777777777777,,,,,2026-08-07,schedule_date_lookup,0.0,-0.0,-0.0,3.5277615500795,0.0,-1.5277615500795094,-0.0,-20.0,2.0,-1.8294447689984104,NEUTRAL,"NO_SIDE, WIDE_MARKET_RANGE, LOW_MODEL_EDGE",9.0
2026-08-07T12:04:49.137253+00:00,game_model_features_v21,GSV @ DAL,GSV,DAL,,161.72222222222223,,,,,2026-08-07,schedule_date_lookup,0.0,0.0,0.0,1.091417037874387,0.0,0.9085829621256147,0.0,-10.0,1.5,-0.8781716592425122,NEUTRAL,"NO_SIDE, WIDE_MARKET_RANGE, LOW_MODEL_EDGE",10.0
2026-08-07T12:04:49.137330+00:00,game_model_features_v21,SEA @ POR,SEA,POR,,182.1,,,,,2026-08-08,schedule_date_lookup,0.0,0.0,-0.0,3.671432233273675,0.0,-1.671432233273662,0.0,-0.0,1.0,0.17342864466547414,NEUTRAL,"NO_SIDE, LOW_MODEL_EDGE",11.0
2026-08-07T12:04:49.137404+00:00,game_model_features_v21,LVA @ MIN,LVA,MIN,,185.9,,,,,2026-08-08,schedule_date_lookup,0.0,-0.0,-0.0,3.1869475204576503,0.0,-1.186947520457654,0.0,-0.0,1.0,0.16373895040915284,NEUTRAL,"NO_SIDE, LOW_MODEL_EDGE",12.0
2026-08-07T12:04:49.137163+00:00,game_model_features_v21,PHO @ CON,PHO,CON,,174.66666666666666,,,,,2026-08-07,schedule_date_lookup,0.0,0.0,-0.0,-1.251871210373956,0.0,3.2518712103739356,0.0,-0.0,0.5,0.07496257579251984,NEUTRAL,"NO_SIDE, LOW_MODEL_EDGE",13.0
