source,layer,state,rows,events,path,fallback_path,error,freshness,season,created_at_utc
official_playergamelogs_base,official_wnba_mobile,CACHE_FALLBACK_USED,5407,0,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_playergamelogs_2025.csv,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_playergamelogs_2025.csv,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",cached,2025,2026-07-01T13:47:24.043328+00:00
official_teamgamelogs_base,official_wnba_mobile,OUTPUT_FALLBACK_USED,572,0,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_teamgamelogs_2025.csv,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_outputs/official_mobile_teamgamelogs_v21.csv,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",cached,2025,2026-07-01T13:47:24.043362+00:00
official_team_dash_base,official_wnba_mobile,CACHE_FALLBACK_USED,13,0,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_team_dash_base_2025.csv,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_team_dash_base_2025.csv,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",cached,2025,2026-07-01T13:47:24.043371+00:00
official_player_dash_base,official_wnba_mobile,CACHE_FALLBACK_USED,182,0,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_player_dash_base_2025.csv,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_player_dash_base_2025.csv,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",cached,2025,2026-07-01T13:47:24.043378+00:00
official_playergamelogs_base,official_wnba_mobile,CACHE_FALLBACK_USED,1197,0,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_playergamelogs_2026.csv,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_playergamelogs_2026.csv,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",cached,2026,2026-07-01T13:47:24.043385+00:00
official_teamgamelogs_base,official_wnba_mobile,OUTPUT_FALLBACK_USED,274,0,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_teamgamelogs_2026.csv,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_outputs/official_mobile_teamgamelogs_v21.csv,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",cached,2026,2026-07-01T13:47:24.043392+00:00
official_team_dash_base,official_wnba_mobile,CACHE_FALLBACK_USED,15,0,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_team_dash_base_2026.csv,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_team_dash_base_2026.csv,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",cached,2026,2026-07-01T13:47:24.043399+00:00
official_player_dash_base,official_wnba_mobile,CACHE_FALLBACK_USED,196,0,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_player_dash_base_2026.csv,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/mobile_player_dash_base_2026.csv,"attempt 1: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20) | attempt 2: ReadTimeout: HTTPSConnectionPool(host='stats.wnba.com', port=443): Read timed out. (read timeout=20)",cached,2026,2026-07-01T13:47:24.043409+00:00
odds_events,odds_api,LIVE_FETCH_OK,0,6,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/odds_events_2026_07_01.json,,,live,,2026-07-01T13:47:24.043416+00:00
odds_totals,odds_api,LIVE_FETCH_OK,80,6,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/odds_totals_latest.csv,,odds_attempt=safe_us_totals; regions=us; markets=totals,live,,2026-07-01T13:47:24.043424+00:00
player_props,odds_api,SKIPPED,0,0,,,Use --props to fetch player props.,skipped,,2026-07-01T13:47:24.043431+00:00
espn_wnba_schedules,sportsdataverse,LIVE_FETCH_OK,332,3,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/sdv_wnba_schedules.csv,,,live,2026,2026-07-01T13:47:24.043437+00:00
espn_wnba_team_boxscores,sportsdataverse,LIVE_FETCH_OK,290,3,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/sdv_wnba_team_boxscores.csv,,,live,2026,2026-07-01T13:47:24.043444+00:00
espn_wnba_player_boxscores,sportsdataverse,LIVE_FETCH_OK,3495,3,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/sdv_wnba_player_boxscores.csv,,,live,2026,2026-07-01T13:47:24.043450+00:00
espn_wnba_pbp,sportsdataverse,LIVE_FETCH_OK,60234,3,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/sdv_wnba_pbp.csv,,,live,2026,2026-07-01T13:47:24.043457+00:00
wnba_stats_schedules,sportsdataverse,LIVE_FETCH_OK,288,3,/home/runner/work/wnba-edge-lab/wnba-edge-lab/wnba_cache_v21/sdv_wnba_stats_schedules.csv,,,live,2026,2026-07-01T13:47:24.043464+00:00
wnba_stats_team_boxscores,sportsdataverse,FETCHED_ASSETS_UNPARSED,0,0,,,Downloaded assets but no parseable table.,unparsed,2026,2026-07-01T13:47:24.043471+00:00
wnba_stats_player_boxscores,sportsdataverse,FETCHED_ASSETS_UNPARSED,0,0,,,Downloaded assets but no parseable table.,unparsed,2026,2026-07-01T13:47:24.043477+00:00
